id,article,name,старый_carpet_edge_type,created_at,updated_at
28,ЛЕЖ-1800x1185x30-ЧЕШУЙ-ШИП11-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:04:01.442775,2025-08-21 12:04:01.442775
29,ЛЕЖ-1800x1200x30-ЧЕРТ-ШИП11-2СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:06:31.995197,2025-08-21 12:06:31.995197
30,ЛЕЖ-1800x1200x30-ЧЕРТ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:24:29.064153,2025-08-21 12:24:29.064153
31,ЛЕЖ-1930x1200x30-ЧЕРТ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:25:55.041393,2025-08-21 12:25:55.041393
32,ЛЕЖ-1800x1190x30-ЧЕРТ-ШИП11-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:27:45.870447,2025-08-21 12:27:45.870447
33,ЛЕЖ-1800x1190x30-ЧЕШУЙ-ШИП11-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:29:26.175059,2025-08-21 12:30:03.065
34,ЛЕЖ-1700x1190x30-ЧЕРТ-ШИП11-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:31:42.206798,2025-08-21 12:32:08.302
35,ЛЕЖ-2030x1200x30-ЧЕРТ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:33:33.755585,2025-08-27 11:51:54.335
36,ЛЕЖ-1900x1190x30-ЧЕШУЙ-ШИП11-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:35:04.577343,2025-08-21 12:35:04.577343
37,ЛЕЖ-1930x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:36:23.069008,2025-08-21 12:36:23.069008
38,ЛЕЖ-1850x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:37:33.754633,2025-08-27 11:50:14.372
39,ЛЕЖ-2030x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:38:51.751346,2025-08-27 11:49:10.096
40,ЛЕЖ-1500x800x24-ЧЕШУЙ-GEA-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:21:37.644737,2025-09-02 08:45:37.323
41,ЛЕЖ-1600x800x24-ЧЕШУЙ-GEA-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:22:59.416236,2025-09-02 08:46:46.121
42,ЛЕЖ-1800x1200x24-ЧЕШУЙ-VELES-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:24:24.688731,2025-09-02 08:26:09.8
43,ЛЕЖ-1800x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:29:59.943915,2025-09-02 08:19:38.933
44,ЛЕЖ-1850x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:34:05.031795,2025-09-02 08:29:01.464
45,ЛЕЖ-2050x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:35:45.956089,2025-09-02 08:27:40.89
46,ЛЕЖ-2030x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:37:03.910098,2025-09-02 08:30:00.69
47,ЛЕЖ-2050x1200x24-ЧЕШУЙ-ШИП7-2СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:38:14.463766,2025-09-02 08:31:06.786
48,ЛЕЖ-1950x1200x24-ЧЕШУЙ-VELES-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:39:48.020712,2025-09-02 08:49:37.228
49,ЛЕЖ-1930x1200x24-ЧЕШУЙ-VELES-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 06:41:02.487926,2025-09-02 08:47:38.814
50,МАТ-1800x1200x24-ЧЕШУЙ-ШИП7-2СОРТ,мат,straight_cut,2025-08-22 07:09:29.29441,2025-08-27 13:16:58.966
51,МАТ-1700x1100x24-ЧЕШУЙ-ШИП7-2СОРТ,мат,straight_cut,2025-08-22 07:11:03.341501,2025-08-27 13:16:11.799
52,ЛЕЖ-1600x1000x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:12:23.72199,2025-09-02 09:45:42.88
53,ЛЕЖ-1600x800x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:13:53.993596,2025-09-02 09:03:17.047
54,МАТ-1700x1110x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,мат,straight_cut,2025-08-22 07:15:37.400595,2025-08-22 07:15:37.400595
56,ЛЕЖ-1930x1200x24-ЧЕШУЙ-ШИП7-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:27:41.882252,2025-09-02 09:25:54.2
57,ЛЕЖ-1600x880x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:29:09.20923,2025-09-02 09:44:57.232
58,ЛЕЖ-1600x980x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:32:07.985635,2025-09-02 09:43:56.479
59,ЛЕЖ-1600x780x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:33:42.083579,2025-09-02 09:43:14.511
60,МАТ-1700x1100x24-ЧЕШУЙ-ШИП7-1СОРТ,мат,straight_cut,2025-08-22 07:44:24.650373,2025-08-27 12:49:35.126
62,ЛЕЖ-1600x800x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,ЛЕЖ,straight_cut,2025-08-22 07:48:18.454223,2025-09-02 09:27:10.398
64,МАТ-2030x1200x21-ЧЕРТ-ШИП0-1СОРТ,мат,straight_cut,2025-08-22 07:57:13.613359,2025-08-27 12:55:53.485
65,МАТ-2000x1200x21-ЧЕШУЙ-ШИП0-1СОРТ,мат,straight_cut,2025-08-22 07:58:11.619631,2025-08-27 11:53:36.119
66,МАТ-1800x1200x21-ЧЕШУЙ-ШИП0-1СОРТ,мат,straight_cut,2025-08-22 07:59:09.458255,2025-08-27 11:54:32.268
67,МАТ-1900x1200x21-ЧЕРТ-ШИП2-1СОРТ,мат,straight_cut,2025-08-22 08:42:50.736371,2025-08-27 11:55:12.387
68,МАТ-2050x1200x21-ЧЕРТ-ШИП2-1СОРТ,мат,straight_cut,2025-08-22 08:44:40.140096,2025-08-27 11:56:37.695
69,МАТ-1900x1200x21-ЧЕШУЙ-ШИП2-1СОРТ,мат,straight_cut,2025-08-22 08:46:05.325418,2025-08-22 08:46:05.325418
71,МАТ-2030x1200x21-ЧЕШУЙ-ШИП2-1СОРТ,мат,straight_cut,2025-08-22 08:49:11.371099,2025-08-27 11:57:13.477
72,МАТ-2000x1200x21-ЧЕШУЙ-ШИП2-1СОРТ,мат,straight_cut,2025-08-22 08:52:00.639103,2025-08-27 12:14:37.65
73,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-1СОРТ,мат,straight_cut,2025-08-22 10:43:52.124262,2025-08-22 10:43:52.124262
74,МАТ-1300x715x24-ЧЕШУЙ-ШИП2-1СОРТ,мат,straight_cut,2025-08-22 10:47:09.801592,2025-08-22 10:47:09.801592
79,МАТ-1300x715x10-ЧЕШУЙ-ШИП0-1СОРТ,мат,straight_cut,2025-08-22 11:23:29.469735,2025-08-22 11:23:29.469735
82,ВЕРБ-2030x1200x30-ЧЕРТ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:00:29.793292,2025-08-27 11:48:01.664
83,ВЕРБ-2000x1200x30-ЧЕШУЙ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:02:47.171637,2025-08-27 11:45:59.849
84,ВЕРБ-1950x1200x30-ЧЕРТ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:04:16.702234,2025-08-27 11:42:07.63
85,ВЕРБ-1950x1200x30-ЧЕШУЙ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:05:32.91858,2025-08-27 11:42:58.414
86,ВЕРБ-1830x1200x30-ЧЕРТ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:06:41.201205,2025-08-27 11:43:42.434
87,ВЕРБ-1830x1100x30-ЧЕРТ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:08:13.655431,2025-08-27 11:44:27.52
88,ВЕРБ-1830x1100x30-ЧЕШУЙ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:10:05.240923,2025-08-27 11:45:13.656
89,ВЕРБ-1950x1200x30-ЧЕРТ-Прям рез-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:11:25.387774,2025-08-26 06:28:02.39
90,ВЕРБ-1800x1200x30-ЧЕРТ-Прям рез-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:12:51.314485,2025-08-26 06:29:14.22
91,ВЕРБ-1900x1200x30-ЧЕШУЙ-Прям рез-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:14:38.144527,2025-08-26 06:29:47.507
92,ВЕРБ-1700x1200x30-ЧЕРТ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:16:09.622787,2025-08-27 11:41:39.468
93,ВЕРБ-1830x1000x30-ЧЕШУЙ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:17:44.297103,2025-08-27 11:46:42.389
94,ВЕРБ-1950x1000x30-ЧЕРТ-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:19:28.924949,2025-08-27 11:47:16.173
95,ВЕРБ-1830x1200x30-ЧЕРТ-Прям рез-1СОРТ,ВЕРБ,straight_cut,2025-08-22 12:22:02.558725,2025-08-26 06:33:40.229
96,ЛЕЖ-1800x1200x30-ЧЕШУЙ-не ус-УКР-1СОРТ,ЛЕЖАК,straight_cut,2025-08-22 12:30:02.581431,2025-08-22 12:31:34.172
97,ЛЕЖАК-1800x1185x30-ЧЕШУЙ-СБОРТ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-22 12:35:03.586385,2025-08-22 12:35:03.586385
98,ЛЕЖАК-1800x1200x30-ЧЕШУЙ-не ус-КИТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-22 12:56:21.220857,2025-08-25 07:27:13.272
99,ЛЕЖАК-1800x1195x35-ЧЕШУЙ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-22 13:02:28.971916,2025-08-22 13:02:28.971916
100,ЛЕЖАК-1800x1200x35-ЧЕШУЙ-СБОРТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:12:30.249559,2025-08-25 06:14:58.545
101,ЛЕЖАК-1800x1200x30-ЧЕШУЙ-ЛИБЕР,ЛЕЖАК,straight_cut,2025-08-25 06:25:52.733337,2025-08-25 06:39:14.705
102,ЛЕЖАК-1800x1200x40-ЧЕШУЙ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:42:22.887882,2025-08-25 06:42:22.887882
103,ЛЕЖАК-1800x1200x40-ЧЕШУЙ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:45:47.574466,2025-08-25 06:45:47.574466
104,ЛЕЖАК-1800x1185x35-3КОР-СБОРТ-ЛИБЕР,ЛЕЖАК,straight_cut,2025-08-25 06:47:57.480798,2025-08-25 07:15:00.174
105,ЛЕЖАК-1800x1200x30-3КОР-СБОРТ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:50:11.163902,2025-08-25 06:50:11.163902
106,ЛЕЖАК-1800x1200x30-3КОР-СБОРТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:51:29.965653,2025-08-25 06:51:29.965653
107,ЛЕЖАК-1800x1185x30-3КОР-СБОРТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:53:14.179127,2025-08-25 06:53:14.179127
108,ЛЕЖАК-1800x1185x30-3КОР-СБОРТ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 06:55:25.825604,2025-08-25 06:55:25.825604
109,ЛЕЖАК-1800x1200x40-1КОР-СБОРТ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:04:15.564376,2025-08-25 07:06:04.85
110,ЛЕЖАК-1800x1200x35-1КОР-СБОРТ-не ус-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:08:26.06843,2025-08-25 07:08:26.06843
111,ЛЕЖАК-1800x1185x35-3КОР-СБОРТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:14:15.630196,2025-08-25 07:14:15.630196
112,ЛЕЖАК-1800x1200x30-ЧЕШУЙ-СБОРТ-GEA-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:17:07.902254,2025-08-25 07:17:07.902254
113,ЛЕЖАК-1800x1200x35-ЧЕШУЙ-СБОРТ-АГРОТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:19:01.815003,2025-08-25 07:19:01.815003
114,ЛЕЖАК-1800x1165x30-3КОР-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:20:44.806095,2025-08-25 07:20:44.806095
115,ЛЕЖАК-1800x1175x30-3КОР-БЕЗБОРТ-1СОРТ,ЛЕЖАК,straight_cut,2025-08-25 07:22:14.394893,2025-08-25 07:22:14.394893
117,ПУР 5,ПУР5,straight_cut,2025-09-02 06:59:41.31859,2025-09-02 07:01:27.303
118,ПУР6,ПУР6,straight_cut,2025-09-02 07:02:55.255676,2025-09-02 07:32:25.728
119,ПУР 7,ПУР7,straight_cut,2025-09-02 07:04:22.725627,2025-09-02 07:32:59.207
11,МАТ-2050x1200x24-ЧЕШУЙ-ШИП5-Усил-Подпазл-1СОРТ,мат,podpuzzle,2025-08-21 10:30:10.603543,2025-08-27 12:18:21.699
63,МАТ-2050x1200x21-ЧЕШУЙ-GEA-ШИП0-Подпазл-1СОРТ,мат,podpuzzle,2025-08-22 07:55:51.151004,2025-08-27 12:48:17.461
75,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-Подпазл-1СОРТ,мат,podpuzzle,2025-08-22 10:49:13.915138,2025-08-22 10:49:13.915138
9,МАТ-2000x1200x24-ЧЕШУЙ-ШИП5-4ст нов лит п-1СОРТ,мат,litoy_puzzle,2025-08-21 07:21:45.411841,2025-08-27 12:30:55.933
19,МАТ-1750x1200x24-ЧЕШУЙ-ШИП5-лит п-1СОРТ,мат,litoy_puzzle,2025-08-21 11:19:22.141491,2025-08-27 12:27:43.106
76,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-Литой пазл-1СОРТ,мат,litoy_puzzle,2025-08-22 11:01:13.694089,2025-08-22 11:01:13.694089
77,МАТ-1300x715x24-ЧЕШУЙ-ШИП5-Литой пазл обрез-1СОРТ,мат,litoy_puzzle,2025-08-22 11:08:59.332159,2025-08-22 11:10:56.381
